location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,gdp,total_cases,total_deaths,total_tests,tests_per_million,cases_per_million,deaths_per_million
Afghanistan,Asia,38928341.0,64.83,0.5,1803.987,70226221095.567,38243.0,1409.0,,,98239.48058819152,3619.470965896029
Albania,Europe,2877800.0,78.57,2.89,11803.431,33967913731.800003,9728.0,296.0,,,338035.9997220099,10285.63485996247
Algeria,Africa,43851043.0,76.88,1.9,13913.839,610136352284.077,45158.0,1525.0,,,102980.4467820754,3477.6823894473846
Andorra,Europe,77265.0,83.73,,,,1199.0,53.0,,,1551802.2390474342,68595.09480359801
Angola,Africa,32866268.0,61.15,,5819.495,191265082294.66,2729.0,109.0,,,8303.346154178504,331.64702484626486
Anguilla,North America,15002.0,81.88,,,,3.0,0.0,,,19997.33368884149,0.0
Antigua and Barbuda,North America,97928.0,77.02,3.8,21490.943,2104565066.1039999,94.0,3.0,,,95988.88979658525,3063.475206273997
Argentina,South America,45195777.0,76.67,5.0,18933.907,855732638510.739,428226.0,8971.0,1118923.0,2475724.6678157565,947491.1782133981,19849.19962765548
Armenia,Asia,2963234.0,75.09,4.2,8787.58,26039655833.72,44075.0,884.0,,,1487395.1905249467,29832.271093001767
Aruba,North America,106766.0,76.29,,35973.781,3840776702.2460003,2211.0,12.0,,,2070883.9892849782,11239.533184721728
Australia,Oceania,25499881.0,83.44,3.84,44648.71,1138536791803.51,25923.0,663.0,6255797.0,24532651.740610085,101659.29793946882,2600.012133389956
Austria,Europe,9006400.0,81.54,7.37,45436.686,409220968790.4,28183.0,734.0,1210568.0,13441197.370758573,312921.92218866583,8149.76017054539
Azerbaijan,Asia,10139175.0,73.0,4.7,15847.419,160679754539.325,36732.0,538.0,,,362277.99599079805,5306.1516346251055
Bahamas,North America,393248.0,73.92,2.9,27717.847,10899987897.056,2337.0,47.0,,,594281.4712344373,11951.745463422572
Bahrain,Asia,1701583.0,77.29,2.0,43290.705,73662727686.015,52440.0,190.0,1118837.0,65752713.79650596,3081836.1490447423,11166.073003785299
Bangladesh,Asia,164689383.0,72.59,0.8,3523.9840000000004,580362750661.8721,317528.0,4351.0,1514126.0,919382.8845663961,192804.17123185165,2641.9432271478
Barbados,North America,287371.0,79.19,5.8,16978.068,4879004379.228,176.0,7.0,,,61244.871611958064,2435.875575475605
Belarus,Europe,9449321.0,74.79,11.0,17167.967,162225631100.407,72141.0,691.0,1534792.0,16242352.228271216,763451.6808138912,7312.694742828612
Belgium,Europe,11589616.0,81.63,5.64,42658.576,494396514946.81604,85817.0,9898.0,2281853.0,19688771.39673998,740464.5675922309,85404.03754533369
Belize,North America,397621.0,74.62,1.3,7824.361999999999,3111130642.8019996,1101.0,13.0,,,276896.8439795685,3269.4450242819166
Benin,Africa,12123198.0,61.77,0.5,2064.236,25025141746.727997,2194.0,40.0,,,18097.534990354856,329.9459433063784
Bermuda,North America,62273.0,82.59,,50669.315,3155330252.9950004,172.0,9.0,,,276203.16991312447,14452.49144894256
Bhutan,Asia,771612.0,71.78,1.7,8708.597,6719657948.363999,227.0,0.0,,,29418.9307579457,0.0
Bolivia,South America,11673029.0,71.51,1.1,6885.829000000001,80378481606.041,117928.0,5203.0,238965.0,2047155.027199881,1010260.4902292284,44572.835379745906
Bonaire Sint Eustatius and Saba,North America,26221.0,77.79,,,,18.0,0.0,,,68647.26745738149,0.0
Bosnia and Herzegovina,Europe,3280815.0,77.4,3.5,11713.895,38431122424.425,20517.0,627.0,,,625362.905253725,19111.105015064855
Botswana,Africa,2351625.0,69.59,1.8,15807.374,37173015882.75,1724.0,6.0,,,73311.00834529314,255.1427204592569
Brazil,South America,212559409.0,75.88,2.2,14103.452,2997821421979.8677,3997865.0,123780.0,4797948.0,2257226.825466004,1880822.4104537286,58233.131425388936
British Virgin Islands,North America,30237.0,79.07,,,,47.0,1.0,,,155438.700929325,3307.2064027515958
Brunei,Asia,437483.0,75.86,2.7,71809.25099999999,31415326555.232994,144.0,3.0,,,32915.56471908623,685.7409316476297
Bulgaria,Europe,6948445.0,75.05,7.454,18563.307,128986117707.615,16454.0,642.0,415797.0,5984029.52027396,236801.1835741666,9239.477321904398
Burkina Faso,Africa,20903278.0,61.58,0.4,1703.102,35600414568.356,1378.0,55.0,,,6592.267490295063,263.1166269711382
Burundi,Africa,11890781.0,61.58,0.8,702.225,8350003687.725,448.0,1.0,,,3767.6246833576365,8.409876525351867
Cambodia,Asia,16718971.0,69.82,0.8,3645.07,60941819622.97,274.0,0.0,,,1638.856841129756,0.0
Cameroon,Africa,26545864.0,59.29,1.3,3364.926,89324867966.064,19460.0,415.0,,,73307.08844134815,1563.33205052207
Canada,North America,37742157.0,82.43,2.5,44017.59099999999,1661318830283.7866,129923.0,9135.0,5545473.0,14693047.352857973,344238.4069357774,24203.70409672134
Cape Verde,Africa,555988.0,72.98,2.1,6222.554,3459665353.352,4048.0,41.0,,,728073.267768369,7374.259876112434
Cayman Islands,North America,65720.0,83.92,,49903.029,3279627065.88,205.0,1.0,,,311929.3974437005,1521.6068167985393
Central African Republic,Africa,4829764.0,53.28,1.0,661.24,3193633147.36,4712.0,62.0,,,97561.70280783906,1283.706615892619
Chad,Africa,16425859.0,54.24,,1768.1529999999998,29043431868.427,1017.0,77.0,,,6191.457019081924,468.7730486423876
Chile,South America,19116209.0,80.18,2.11,22767.037,435219437602.73303,414739.0,11344.0,2458762.0,12862184.128662748,2169567.198182443,59342.30997369824
China,Asia,1439323774.0,76.91,4.34,15308.712,22034193130919.086,89953.0,4727.0,,,6249.670965276504,328.4181144915904
Colombia,South America,50882884.0,77.29,1.71,13254.949,674450032392.916,633339.0,20348.0,2647702.0,5203521.875843358,1244699.4946277023,39989.871643281855
Comoros,Africa,869595.0,64.32,2.2,1413.89,1229511674.5500002,427.0,7.0,,,49103.31821135126,804.9724296942829
Congo,Africa,5518092.0,64.57,,4881.406,26936047397.352,4628.0,102.0,,,83869.56940913634,1848.4650129066351
Costa Rica,North America,5094114.0,80.28,1.13,15524.995,79086094379.43001,43305.0,453.0,131623.0,2583825.1754868464,850098.7610406834,8892.616066307115
Cote d'Ivoire,Africa,26378275.0,57.78,,3601.006,94988326544.65,18161.0,117.0,127804.0,484504.7676544429,68848.32309921706,443.5468202526511
Croatia,Europe,4105268.0,78.49,5.54,22669.797,93065592190.596,10725.0,191.0,175346.0,4271243.680071557,261249.69185933782,4652.558614930865
Cuba,North America,11326616.0,78.8,5.2,,,4126.0,98.0,403181.0,3559589.2012230307,36427.4731305449,865.2187025674747
Curacao,North America,164100.0,78.88,,,,68.0,1.0,,,41438.14747105424,609.3845216331505
Cyprus,Europe,875899.0,80.98,3.4,32415.132,28392381703.668003,1495.0,21.0,,,170681.77952024149,2397.5367022910177
Czech Republic,Europe,10708982.0,79.38,6.63,32605.906000000003,349176060447.692,25773.0,425.0,910872.0,8505682.426210074,240667.13343994788,3968.6311920218
Democratic Republic of Congo,Africa,89561404.0,60.68,,808.133,72377526098.73201,10113.0,258.0,,,11291.694355305104,288.07051751890805
Denmark,Europe,5792203.0,80.9,2.5,46682.515,270394603430.54498,17195.0,626.0,2447911.0,42262175.548750624,296864.5953879724,10807.632260126242
Djibouti,Africa,988002.0,67.11,1.4,2705.406,2672946538.812,5387.0,60.0,,,545241.8112513942,6072.862200683804
