location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,gdp
Afghanistan,Asia,38928341.0,64.83,0.5,1803.987,70226221095.567
Albania,Europe,2877800.0,78.57,2.89,11803.431,33967913731.800003
Algeria,Africa,43851043.0,76.88,1.9,13913.839,610136352284.077
Andorra,Europe,77265.0,83.73,,,
Angola,Africa,32866268.0,61.15,,5819.495,191265082294.66
Anguilla,North America,15002.0,81.88,,,
Antigua and Barbuda,North America,97928.0,77.02,3.8,21490.943,2104565066.1039999
Argentina,South America,45195777.0,76.67,5.0,18933.907,855732638510.739
Armenia,Asia,2963234.0,75.09,4.2,8787.58,26039655833.72
Aruba,North America,106766.0,76.29,,35973.781,3840776702.2460003
Australia,Oceania,25499881.0,83.44,3.84,44648.71,1138536791803.51
Austria,Europe,9006400.0,81.54,7.37,45436.686,409220968790.4
Azerbaijan,Asia,10139175.0,73.0,4.7,15847.419,160679754539.325
Bahamas,North America,393248.0,73.92,2.9,27717.847,10899987897.056
Bahrain,Asia,1701583.0,77.29,2.0,43290.705,73662727686.015
Bangladesh,Asia,164689383.0,72.59,0.8,3523.9840000000004,580362750661.8721
Barbados,North America,287371.0,79.19,5.8,16978.068,4879004379.228
Belarus,Europe,9449321.0,74.79,11.0,17167.967,162225631100.407
Belgium,Europe,11589616.0,81.63,5.64,42658.576,494396514946.81604
Belize,North America,397621.0,74.62,1.3,7824.361999999999,3111130642.8019996
Benin,Africa,12123198.0,61.77,0.5,2064.236,25025141746.727997
Bermuda,North America,62273.0,82.59,,50669.315,3155330252.9950004
Bhutan,Asia,771612.0,71.78,1.7,8708.597,6719657948.363999
Bolivia,South America,11673029.0,71.51,1.1,6885.829000000001,80378481606.041
Bonaire Sint Eustatius and Saba,North America,26221.0,77.79,,,
Bosnia and Herzegovina,Europe,3280815.0,77.4,3.5,11713.895,38431122424.425
Botswana,Africa,2351625.0,69.59,1.8,15807.374,37173015882.75
Brazil,South America,212559409.0,75.88,2.2,14103.452,2997821421979.8677
British Virgin Islands,North America,30237.0,79.07,,,
Brunei,Asia,437483.0,75.86,2.7,71809.25099999999,31415326555.232994
Bulgaria,Europe,6948445.0,75.05,7.454,18563.307,128986117707.615
Burkina Faso,Africa,20903278.0,61.58,0.4,1703.102,35600414568.356
Burundi,Africa,11890781.0,61.58,0.8,702.225,8350003687.725
Cambodia,Asia,16718971.0,69.82,0.8,3645.07,60941819622.97
Cameroon,Africa,26545864.0,59.29,1.3,3364.926,89324867966.064
Canada,North America,37742157.0,82.43,2.5,44017.59099999999,1661318830283.7866
Cape Verde,Africa,555988.0,72.98,2.1,6222.554,3459665353.352
Cayman Islands,North America,65720.0,83.92,,49903.029,3279627065.88
Central African Republic,Africa,4829764.0,53.28,1.0,661.24,3193633147.36
Chad,Africa,16425859.0,54.24,,1768.1529999999998,29043431868.427
Chile,South America,19116209.0,80.18,2.11,22767.037,435219437602.73303
China,Asia,1439323774.0,76.91,4.34,15308.712,22034193130919.086
Colombia,South America,50882884.0,77.29,1.71,13254.949,674450032392.916
Comoros,Africa,869595.0,64.32,2.2,1413.89,1229511674.5500002
Congo,Africa,5518092.0,64.57,,4881.406,26936047397.352
Costa Rica,North America,5094114.0,80.28,1.13,15524.995,79086094379.43001
Cote d'Ivoire,Africa,26378275.0,57.78,,3601.006,94988326544.65
Croatia,Europe,4105268.0,78.49,5.54,22669.797,93065592190.596
Cuba,North America,11326616.0,78.8,5.2,,
Curacao,North America,164100.0,78.88,,,
Cyprus,Europe,875899.0,80.98,3.4,32415.132,28392381703.668003
Czech Republic,Europe,10708982.0,79.38,6.63,32605.906000000003,349176060447.692
